0 1 0 0 1 2
0.000153    0.999999 0.000600829           0           1           2
0.000154    0.999999 0.000604756           0           1           2
0.000155    0.999999 0.000608683           0           1           2
0.000156   0.999999 0.00061261          0          1          2
0.000157    0.999999 0.000616537           0           1           2
0.000158    0.999999 0.000620464           0           1           2
0.000159    0.999999 0.000624391           0           1           2
0.00016    0.999999 0.000628318           0           1           2
0.000161    0.999999 0.000632245           0           1           2
0.000162    0.999999 0.000636172           0           1           2
0.000163    0.999999 0.000640099           0           1           2
0.000164    0.999999 0.000644026           0           1           2
0.000165    0.999999 0.000647953           0           1           2
0.000166   0.999999 0.00065188          0          1          2
0.000167    0.999999 0.000655807           0           1           2
0.000168    0.999999 0.000659734           0           1           2
0.000169    0.999999 0.000663661           0           1           2
0.00017    0.999999 0.000667588           0           1           2
0.000171    0.999999 0.000671515           0           1           2
0.000172    0.999999 0.000675442           0           1           2
0.000173    0.999999 0.000679369           0           1           2
0.000174    0.999999 0.000683296           0           1           2
0.000175    0.999999 0.000687223           0           1           2
0.000176   0.999999 0.00069115          0          1          2
0.000177    0.999999 0.000695077           0           1           2
0.000178    0.999999 0.000699004           0           1           2
0.000179    0.999999 0.000702931           0           1           2
0.00018    0.999999 0.000706858           0           1           2
0.000181    0.999999 0.000710785           0           1           2
0.000182    0.999999 0.000714712           0           1           2
0.000183    0.999999 0.000718639           0           1           2
0.000184    0.999999 0.000722566           0           1           2
0.000185    0.999999 0.000726493           0           1           2
0.000186   0.999999 0.00073042          0          1          2
0.000187    0.999999 0.000734347           0           1           2
0.000188    0.999999 0.000738274           0           1           2
0.000189    0.999999 0.000742201           0           1           2
0.00019    0.999999 0.000746128           0           1           2
0.000191    0.999999 0.000750055           0           1           2
0.000192    0.999999 0.000753981           0           1           2
0.000193    0.999999 0.000757908           0           1           2
0.000194    0.999999 0.000761835           0           1           2
0.000195    0.999999 0.000765762           0           1           2
0.000196    0.999999 0.000769689           0           1           2
0.000197    0.999999 0.000773616           0           1           2
